model,experiment,run,precision_micro,recall_micro,f1_micro,f1_macro,BG_emr,BG_f1_macro,BG_f1_micro,EN_emr,EN_f1_macro,EN_f1_micro,HI_emr,HI_f1_macro,HI_f1_micro,PT_emr,PT_f1_macro,PT_f1_micro,RU_emr,RU_f1_macro,RU_f1_micro,emr
gemma4:26b-a4b-it-q4_K_M,icl_verbalized_triples,1,0.4280898876404494,0.5816793893129771,0.49320388349514566,0.34793567241692014,0.2903225806451613,0.2835858585858586,0.5060240963855421,0.14285714285714285,0.288261988643616,0.367816091954023,0.29642857142857143,0.2511037774110906,0.46620689655172415,0.6206896551724138,0.3266439826716506,0.7111111111111111,0.26744186046511625,0.2904675879675879,0.4563106796116505,0.33112582781456956
gemma4:26b-a4b-it-q4_K_M,icl_verbalized_triples,2,0.416204217536071,0.5725190839694656,0.4820051413881748,0.3254584903150564,0.3225806451612903,0.25129110655426445,0.47058823529411764,0.14285714285714285,0.2437721301501889,0.36015325670498083,0.28214285714285714,0.24362094250735736,0.45964432284541723,0.5862068965517241,0.31231235470365903,0.6956521739130435,0.29069767441860467,0.2327908128710268,0.43349753694581283,0.3228476821192053
gemma4:26b-a4b-it-q4_K_M,icl_verbalized_triples,3,0.42474916387959866,0.5816793893129771,0.49097938144329895,0.3600205906822743,0.2903225806451613,0.26507177033492824,0.4883720930232558,0.13186813186813187,0.34758546222778713,0.41064638783269963,0.28214285714285714,0.23180271645966172,0.4508990318118949,0.5775862068965517,0.30168659486841304,0.6981818181818182,0.29069767441860467,0.25410404321887575,0.4585365853658537,0.31788079470198677
gemma4:26b-a4b-it-q4_K_M,icl_verbalized_triples,mean,0.42301442301870634,0.5786259541984733,0.48872946877553974,0.34447158447141696,0.3010752688172043,0.26664957849168375,0.48832814156763854,0.13919413919413917,0.29320652700719735,0.3795385788305678,0.2869047619047619,0.24217581212603656,0.45891675040301205,0.5948275862068965,0.31354764408124086,0.7016483677353244,0.28294573643410853,0.25912081468583015,0.4494482673077724,0.32395143487858724
gemma4:e4b-it-q4_K_M,icl_verbalized_triples,1,0.3479960899315738,0.5435114503816794,0.42431466030989273,0.3116290050624635,0.1935483870967742,0.2768398268398269,0.49411764705882355,0.054945054945054944,0.20194183580330788,0.32867132867132864,0.20357142857142857,0.262573945221593,0.4071246819338422,0.3793103448275862,0.21456607707650244,0.5490196078431373,0.16279069767441862,0.3210623066229474,0.40930232558139534,0.20860927152317882
gemma4:e4b-it-q4_K_M,icl_verbalized_triples,2,0.3558648111332008,0.5465648854961832,0.43106562311860325,0.3101784436187043,0.12903225806451613,0.25212842712842715,0.40860215053763443,0.06593406593406594,0.22824754724276256,0.3487544483985765,0.19285714285714287,0.23014273820263262,0.42392717815344605,0.4051724137931034,0.283515059178776,0.5761589403973509,0.18604651162790697,0.2725475102098478,0.37037037037037035,0.21026490066225165
gemma4:e4b-it-q4_K_M,icl_verbalized_triples,3,0.3409316154608523,0.5251908396946565,0.41346153846153844,0.28273482175610737,0.16129032258064516,0.23705542823189882,0.41379310344827586,0.054945054945054944,0.24727546221201308,0.35587188612099646,0.20357142857142857,0.20901148633251143,0.3835263835263835,0.3706896551724138,0.30200669905243616,0.5780730897009967,0.18604651162790697,0.21815032232988887,0.3669724770642202,0.20860927152317882
gemma4:e4b-it-q4_K_M,icl_verbalized_triples,mean,0.34826417217520894,0.5384223918575063,0.4229472739633448,0.3015140901457584,0.16129032258064516,0.25534122740005094,0.43883763368157797,0.0586080586080586,0.22582161508602783,0.34443255439696724,0.20000000000000004,0.23390938991891233,0.4048594145378906,0.3850574712643678,0.2666959451025715,0.5677505459804949,0.17829457364341086,0.27058671305422805,0.3822150576719953,0.20916114790286974
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_verbalized_triples,1,0.34823977164605135,0.5587786259541985,0.42907385697538103,0.3018259206065124,0.06451612903225806,0.2364892417523997,0.4318181818181818,0.054945054945054944,0.22584086283572902,0.34306569343065696,0.15,0.23642631713501985,0.4226415094339623,0.2413793103448276,0.21229407954783308,0.558282208588957,0.18604651162790697,0.23561118947436485,0.36771300448430494,0.15397350993377484
mistral-small3.2:24b-instruct-2506-q4_K_M,icl_verbalized_triples,2,0.34277620396600567,0.5541984732824428,0.4235705950991832,0.28856661355596475,0.06451612903225806,0.2746677299308878,0.4666666666666667,0.06593406593406594,0.2055572995073833,0.32967032967032966,0.16071428571428573,0.23002491216574922,0.4114002478314746,0.25,0.215101892156457,0.5652173913043478,0.19767441860465115,0.22322923596800945,0.36036036036036034,0.16390728476821192
